guid,noteid,Title,OccludedImage,Clinical,Comment,Origin,Insertion,Attachments,Innervation,Actions,Plate,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a,16a,17a,18a,19a,20a,tags
=4PV*b!kn=,1349477488358,"Anterior Thoracic Wall: Internal View 1","<img src=""MSA-Anterior_Thoracic_Wall-Internal_View_13.jpg"">","<b>Clinical:</b>The intercostal muscles assist in respiration and can hypertrophy if respiratory pathology develops, e.g., chronic obstructive pulmonary disease such as asthma or emphysema.<br>","<b>Comment:</b>  In general, the fibers of the internal intercostals are roughly perpendicular to those of the external intercostal muscles.  <br><br>All of the intercostal muscles keep the intercostal spaces rigid, preventing them from bulging out during expiration and being drawn in during inspiration.  <br>","<b>Origin (superior attachment):</b>  These muscles arise from a ridge on the inner surface of the inferior aspect of each rib and from the corresponding costal cartilage.  <br><br>","<b>Insertion (inferior attachment):</b>  They attach to the upper border of the rib below.  <br><br>",,"<b>Innervation:</b>  Nn. intercostales&nbsp;1–11 <br><br>","<b>Funktion:</b><div><div></div>Mm. intercostales interni:&nbsp;Exspiration&nbsp;<b><br></b></div>","Atlas Plate 184","<div>Mm. intercostales interni</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Thorax DopeRanatomy::System::Musculoskeletal::Muscular::Thorax Dufte::Thorax::Muskulatur"
&6uRbm6[fT,1349477488359,"Vordere Thorax Wand: Interne Ansicht 2","<img src=""MSA-Anterior_Thoracic_Wall-Internal_View_24.jpg"">",,"<b>Comment:</b>&nbsp;<div>Innermost intercostal muscles frequently are poorly developed and may be fused to the overlying internal intercostals.  <br /><br />The transversus thoracis muscle is variable in its attachments. <br /></div>","<b>Origin:</b><div>Transversus thoracis arises from the posterior surface of the lower portion of the body of the sternum and the xiphoid process. <br /></div>","<b>Insertion:</b><div>Innermost: upper border of inferior rib.&nbsp;</div><div>Transversus thoracis: inner surface of costal cartilages 2-6. <br></div>",,"<b>Innervation:</b>&nbsp;<br><div>Mm. intercostales intimi: Nn. intercostales&nbsp;4–11<br></div><div>M. transversus thoracis: Nn. intercostales&nbsp;2–6<br></div>",<b>Funktion:</b>&nbsp;Expiration,"Atlas Plate 184","Musculi intercostales intimi&nbsp;<br>","<div>Musculus transversus thoracis</div>",,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Thorax DopeRanatomy::System::Musculoskeletal::Muscular::Thorax Dufte::Thorax::Muskulatur"
$8wJAC@s[e,1349477488360,"Anteriores Dreieck","<img src=""MSA-Anterior_Triangle0.jpg"">",,"<b>Comment:</b> Borders of the anterior triangle: 1. Anterior border of the sternocleidomastoid 2. Inferior border of the mandible 3. Midline of the neck  Using the hyoid as a keystone, the omohyoid and digastric mm. subdivide the anterior triangle: 1. Submandibular triangle 2. Carotid triangle 3. Muscular triangle 4. Submental triangle  All of the triangles within the anterior triangle are paired except for the submental triangle, which spans the right and the left sides of the neck. The hyoid bone divides the anterior triangle into 2 areas:<br> <b>suprahyoid and infrahyoid regions.</b><br> The suprahyoid region contains 4 muscles: 1. Mylohyoid 2. Digastric 3. Stylohyoid 4. Geniohyoid  The infrahyoid region contains 4 muscles commonly called strap muscles: 1. Omohyoid 2. Sternohyoid 3. Sternothyroid 4. Thyrohyoid",,,,,,,"<div>Trigonum submandibulare</div>","<div>Trigonum submentale</div>","<div>Trigonum caroticum</div>","<div>Trigonum musculare</div>",,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Musculoskeletal::Muscular::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological Dufte::Kopf_und_Hals::Bonus"
=FYT4K?Qi%,1349477488361,"Arm: Schnittbilder","<img src=""MSA-Arm-Serial_Cross_Section25.jpg"">","<b>Clinical:</b> The radial nerve passes around the shaft of the humerus to gain access to the posterior compartment of the arm. Fractures of the shaft of the humerus can place the radial nerve in jeopardy of being stretched or torn as is wraps around the humerus, affecting wrist and finger extensors.<br>","<b>Comment:</b>  Functionally, the arm is divided into an anterior compartment and a posterior compartment.  Simplistically, the anterior compartment contains the flexors of the elbow.  The posterior compartment contains the extensors of the elbow.  <br><br>The musculocutaneous nerve innervates the muscles of the anterior, or flexor, compartment.  The radial nerve innervates the muscles of the posterior, or extensor, compartment.  <br><br>The anterior compartment is supplied largely by the brachial artery and its branches.  The posterior compartment is supplied largely by the deep brachial (profunda brachii) artery and its branches.  <br><br>The median and ulnar nerves pass through the arm in a medial neurovascular bundle compartment as they course to the forearm.  These 2 nerves do not innervate muscles of the arm.<br>",,,,,,"Atlas Plate 423","<div>Musculus biceps brachii</div>",<div>Musculus&nbsp;coracobrachialis</div>,<div>Musculus&nbsp;deltoideus</div>,<div>Musculus&nbsp;brachialis</div>,"<div>Nervus radialis</div>","<div>Musculus triceps brachii (caput medialis, lateralis, longus)</div>",<div>Musculus&nbsp;brachioradialis</div>,"<div>Nervus musculocuteneus</div>",,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Arm Dufte::Obere_Extremitäten::Schulter_Oberarm_Ellenbogen"
",;YAlR.BH?",1349477488362,"Arteries and Veins of Female Perineum","<img src=""MSA-Arteries_and_Veins_of_Female_Perineum13.jpg"">","<b>Clinical:</b> The rich lymphatic network of the perineum drains largely to the superficial inguinal lymph nodes and then along the iliac nodes to the paraaortic (lumbar) nodes in the abdomen. Infections and cancer cells traveling in the lymphatics follow this same pathway.<br>","<b>Comment:</b>  The internal pudendal artery is a branch of the anterior division of the internal iliac artery.  It courses to the perineum by passing through the lesser sciatic foramen and the pudendal (Alcockampersandapos;s) canal.  <br><br>In the perineum, the internal pudendal artery gives off the inferior rectal artery and the perineal artery.  Branches of the perineal artery supply the bulb of the vestibule and clitoris.  <br><br>Venous branches accompany all the branches of the internal pudendal artery.  Their names correspond to the names of the arterial branches.<br>",,,,,,"Atlas Plate 384","Posterior labial artery;<div>Arteria liabia posterior</div>","Perineal artery;<div>Arteria perina</div>","Perineal artery;<div>Arteria pudenda</div>","Internal pudendal artery in pudendal (Alcock's) canal;<div>Arteria pudenda interna in canalis pudendalis</div>","Inferior rectal artery;<div>Arteria recta inferior</div>","Artery of bulb of vestibule;<div><div>Arteria bulbi vestibuli <u>or</u>&nbsp;arteria bulbi vaginae</div></div>","Dorsal artery of clitoris;<div>Arteria clitora dorsal</div>",,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Pelvic DopeRanatomy::System::Cardiovascular::Vascular::Pelvic DopeRanatomy::System::Reproductive::Female Dufte::Becken_Beckenboden::Beckenboden"
PRb|q3qE9~,1349477488363,"Arterien und Venen des männlichen Beckens","<img src=""MSA-Arteries_and_Veins_of_Male_Pelvis15.jpg"">","<b>Klinik:</b><div>Die&nbsp;<b>Corona mortis</b>&nbsp;oder auch der&nbsp;<b>Arcus mortis</b>&nbsp;(lateinisch&nbsp;„Kranz des Todes“ von&nbsp;<i>corona</i>, „Krone“ oder „Kranz“ bzw.&nbsp;<i>arcus</i>, „[Gefäß-]Bogen“ und&nbsp;<i>mors, mortis</i>, „Tod“) ist eine besonders stark ausgebildete&nbsp;Anastomose&nbsp;(Gefäßverbindung) zwischen der&nbsp;<i>Arteria epigastrica inferior</i>&nbsp;und der&nbsp;<i>Arteria obturatoria</i>.<br><b><br></b>Diese Anastomose verläuft über das&nbsp;<i>Septum femorale</i>&nbsp;(→&nbsp;<i>Lacuna musculorum et vasorum</i>), welches einer&nbsp;Schenkelhernie&nbsp;als&nbsp;Bruchpforte&nbsp;dienen kann. Bei Operationen eines derartigen&nbsp;<i>Bruches</i>&nbsp;kann es zu schwer stillbaren&nbsp;Blutungen&nbsp;bei Verletzung der Gefäße kommen, was v.&nbsp;a. früher eine entsprechend hohe&nbsp;Mortalität&nbsp;zur Folge hatte und so die Bezeichnung der&nbsp;<i>Corona mortis</i>&nbsp;begründete.<b><br></b></div>","<b>Kommentar:</b>&nbsp;Die rechte und die linke&nbsp;<strong>A. iliaca communis</strong>&nbsp;entstehen durch die Aufspaltung der Bauchaorta in Höhe des 4./5. Lendenwirbels. Sie gabeln sich nach kurzem Verlauf jeweils in die A. iliaca externa und die A. iliaca interna.<div>Die&nbsp;<strong>A. iliaca externa</strong>&nbsp;zieht am medialen Psoasrand nach kaudal in die&nbsp;<strong>Lacuna vasorum</strong>, wo sie in die A. femoralis übergeht. Innerhalb des Beckens gibt sie nur 2 Äste ab:</div><div>A. epigastrica inferior</div><div>A. circumflexa ilium profunda.</div><div>Die&nbsp;<strong>A. iliaca interna</strong>&nbsp;verläuft entlang des Sakroiliakalgelenks in das kleine Becken und gibt dabei zahlreiche Äste ab:</div><div><strong>parietale</strong>&nbsp;Äste: A. iliolumbalis, A. sacralis lateralis, A. glutea superior, A. obturatoria, A. glutea inferior</div><div><strong>viszerale</strong>&nbsp;Äste: A. umbilicalis, A. uterina, A. pudenda interna, A. vesicalis inferior, A. rectalis media.</div><div><br></div><div><img src=""paste-863498ac6ec0de38dce699572b9a7b8cb0922016.jpg""><br></div><div><img src=""big_5a0ae48d34847.jpg""><br></div>",,,,,,"Atlas Plate 383","<div>Arteria et Vena obutratoria</div>","<div>Arteria vesicalis superior</div>","<div>Arteria umbilicalis (pars occluded)</div>","<div>Vena dorsalis superficialis penis</div>","<div>Plexus pampiniformis</div>","<div>Arteria rectalis inferior</div>","<div>Arteria pudenda interna</div>","<div>Arteria glutea inferior</div>","<div>Arteria glutea superior</div>","<div>Arteria et vena iliaca interna</div>",,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Pelvic DopeRanatomy::System::Cardiovascular::Vascular::Pelvic DopeRanatomy::System::Reproductive::Male Dufte::Becken_Beckenboden::Becken::Leitungsbahnen"
XkfN)gS!1(,1349477488364,"Arteries and Veins of Male Perineum","<img src=""MSA-Arteries_and_Veins_of_Male_Perineum16.jpg"">","<b>Clinical:</b> The extravasation of urine from a rupture of the spongy urethra can spread into the superficial pouch of the UG triangle, into the scrotum beneath the dartos fascia, around the penis between the dartos and deep penial (Buck's) fascia, and into the lower abdominal wall beneath the membranous (Scarpa's) fascia.<br>","<b>Comment:</b>  The internal pudendal artery is a branch of the anterior division of the internal iliac artery.  It enters the perineum by passing out of the gluteal region through the lesser sciatic foramen and coursing through the pudendal (Alcockampersandapos;s) canal.  <br><br>The internal pudendal artery gives rise to the inferior rectal artery and the perineal artery.  Branches of perineal artery supply the bulb of the penis, the penis, and the scrotum.  <br><br>Venous tributaries accompany the branches of the internal pudendal artery.  The names of these veins correspond to the names of the arterial branches.<br>",,,,,,"Atlas Plate 385","Inferior rectal artery;<div>Arteria rectalis inferior <u>or</u>&nbsp;arteria haemorrhoidalis inferior</div>","Internal pudendal vessels and pudendal nerve (cut) in pudendal (Alcock's) canal (opened up);<div>Arteria et vena pudenda interna, et nervus pudendus in canalis pudendalis</div>","Internal pudendal artery passes superior to perineal membrane;<div>Arteria pudenda interna</div>","Perineal artery and vein;<div>Arteria et vena perinea</div>","Posterior scrotal arteries;<div>Rami scrotales posteriores (arteriae pudendae internae)</div>",,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Pelvic DopeRanatomy::System::Cardiovascular::Vascular::Pelvic DopeRanatomy::System::Reproductive::Male Dufte::Becken_Beckenboden::Beckenboden"
-KE_-?14qd,1349477488365,"Arterien der Schulter","<img src=""MSA-Arteries_Around_Scapula62.jpg"">","<div><b>Klinik</b></div><div>Bei blutenden Verletzungen oder Operationen in dieser Region müssen wegen der ausgeprägten Anastomosen&nbsp;<b>beide Enden</b>&nbsp;von&nbsp;<b>Arterien unterbunden</b>&nbsp;werden.</div>","<b>Kommentar:</b><div>Der&nbsp;<b>Schulterbereich</b>&nbsp;wird durch Äste folgender Arterien versorgt:<div><ul><li>der&nbsp;<b>Arteria subclavia</b>&nbsp;bzw. dem von ihr noch medial der hinteren Skalenuslücke abgehenden&nbsp;<b>Truncus thyrocervicalis</b>. Die A. subclavia lagert sich in der&nbsp;Skalenuslücke&nbsp;zwischen den Mm. scaleni ant. und med. kaudal und ventral den Trunci des&nbsp;Plexus brachialis&nbsp;an und zieht mit ihnen in einem Bogen über die Pleurakuppel; zwischen erster Rippe und Clavicula tritt sie nach kaudal/lateral als A. axillaris in die Axilla.</li><li>Der&nbsp;<b>Arteria axillaris</b>&nbsp;, die als Fortsetzung der A. subclavia distal der Clavicula in der Axilla zwischen die Faszikel des&nbsp;Plexus brachialis&nbsp;zieht. Sie liegt dort medial des Schultergelenks vor dem M. subscapularis bzw. seiner Ansatzsehne.<br></li></ul></div><div>Die Äste der A. axillaris&nbsp;<b>anastomosieren</b>&nbsp;im Schulterbereich mit denen der A.&nbsp;subclavia</div><br><div>Die beiden letzten Zweige der A. axillaris bilden einen Gefäßkranz um das Collum chirurgicum:</div><div><ul><li>die&nbsp;<b>Arteria circumflexa humeri anterior</b>&nbsp;und die<br></li><li>kräftigere&nbsp;<b>Arteria circumflexa humeri posterior</b>&nbsp;, die mit dem N. axillaris durch die laterale Achsellücke zieht und sich dorsal eng um das Collum chirurgicum humeri schlingt.<br></li></ul><div><img src=""867116_25.jpg""><br></div></div></div>",,,,,,"Atlas Plate 415;See also Plates 32, 422","<div>Arteria dorsalis scapulae</div>","<div>Musculus supraspinatus</div>","<div>Ligamentum transversus scapularis superior et incisura suprascapularis</div>","<div>Musculus infraspinatus</div>","<div>Arteria circumflexa scapulae</div>","<div>Arteria circumflexa humeri posterior&nbsp;</div>","<div>Arteria suprascapularis</div>","<div>Ramus acromius der Arteria thoracoacromialis</div>","<div>Arteria suprascapularis</div>",,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Shoulder DopeRanatomy::System::Cardiovascular::Vascular::Upper_Limb::Shoulder Dufte::Obere_Extremitäten::Schulter_Oberarm_Ellenbogen::Leitungsbahnen"
"+c%Y7y,!d!",1349477488366,"Arterien des Gehirns: Ansicht von unten","<img src=""MSA-Arteries_of_Brain-Inferior_View73.jpg"">","<b>Klinik:&nbsp;Ischämie der A. cerebri anterior</b><div>Kommt es beispielsweise zu einem&nbsp;<strong>akuten Verschluss der rechten A. cerebri anterior</strong>, ist aufgrund des arteriellen Versorgungsgebietes dieser Hirnarterie am wahrscheinlichsten mit einer&nbsp;<strong>beinbetonten sensomotorischen Hemiparese links</strong>&nbsp;zu rechnen.&nbsp;Nicht selten treten außerdem&nbsp;<strong>Blasenfunktionsstörungen</strong>&nbsp;hinzu.<b><br></b></div><div><br></div><div><b>Ischämie der A. cerebri media</b><div>Hirninfarkte sind am häufigsten auf Durchblutungsstörungen der A. cerebri media zurückzuführen. Ist diese Arterie verschlossen, folgt eine&nbsp;v.a. an Arm und Gesicht (<strong>brachiofazial</strong>)&nbsp;<strong>betonte Halbseitenlähmung der kontralateralen Körperhälfte</strong>&nbsp;mit entsprechenden&nbsp;<strong>sensiblen Ausfällen</strong>. Tritt die Durchblutungsstörung auf der dominanten Hemisphäre (bei Rechtshändern ist das die linke Seite) auf, resultiert darüber hinaus eine Sprachstörung (<strong>Aphasie</strong>).</div></div><div><br></div><div><b>Ischämie der A. cerebri posterior</b><div>Eine Durchblutungsstörung der A. cerebri posterior führt in erster Linie zu visuellen Symptomen, da der von dieser Arterie versorgte Okzipitallappen eine entscheidende Rolle für das Sehen spielt.&nbsp;Typisch ist dabei die homonyme Hemianopsie, also der&nbsp;<strong>Ausfall des Gesichtsfeldes zur Gegenseite</strong>&nbsp;(Verschluss der linken A. cerebri posterior führt zu einem Gesichtsfeldausfall rechts beider Augen.)</div></div>","<b>Kommentar:</b>&nbsp;Das Gehirn erhält arterielles Blut aus den beiden&nbsp;<strong>Aa. carotides internae</strong>&nbsp;und den beiden&nbsp;<strong>Aa. vertebrales</strong>, deren Blutsysteme über den sog.&nbsp;<strong>Circulus arteriosus Wilisi</strong>, einem Gefäßring an der Hirnbasis, miteinander in Verbindung stehen. Die wichtigsten Gefäße aus dem Karotisstromgebiet sind die A. carotis interna sowie ihre beiden Endäste, die A. cerebri anterior und die A. cerebri media. Zum vertebrobasilären Stromgebiet zählen die beiden Aa. vertebrales, aus denen die A. basilaris entsteht, sowie deren Endäste, die Aa. cerebri posteriores.<br><img src=""ana_023900_versorgungsgebiete01.png""><br>Versorgungsgebiete der 3 großen Hirnarterien<div><strong>Oberes Bild:</strong>&nbsp;Ansicht von lateral.&nbsp;<strong>Unteres Bild:</strong>&nbsp;Ansicht von medial. Die zentral liegenden Hirnbereiche haben eine komplexe Versorgung, die teilweise über die A. choroidea anterior (aus der A. carotis interna) erfolgt (hier gelb dargestellt).</div>(aus Schünke, Schulte, Schumacher, Prometheus, Kopf, Hals und Neuroanatomie, Thieme, 2014; Grafiker: Markus Voll)<br>",,,,,,"Atlas Plate 137","<div>Arteria communicans anterior</div>","<div>Arteria cerebri anterior</div>","<div>Arteria carotis interna</div>","<div>Arteria cerebri&nbsp;media</div>","<div>Arteria communicans posterior</div>","<div>Arteria cerebri&nbsp;posterior</div>","<div>Arteria cerebelli superior</div>","<div>Arteria basilaris</div>","<div>Arteria cerebelli inferior anterior</div>","<div>Arteria vertebralis</div>","<div>Arteria cerebelli inferior posterior</div>",,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Nervous::CNS Dufte::Kopf_und_Hals::Leitungsbahnen::Arterien"
/Qh3R4(_cF,1349477488367,"Arterien des weiblichen Beckens","<img src=""MSA-Arteries_of_Female_Pelvis12.jpg"" />","<b>Clinical:</b> Cancer cells originating in the pelvic visceral may spread (metastsize) via the venous system and will generally follow the venous drainage back toward the central circulation. For most of the pelvic viscera this means the inferior vena cava, although some spread to the adjacent veins of the vertebral column is also common.<br>","<b>Kommentar:</b>&nbsp;Die rechte und die linke&nbsp;<strong>A. iliaca communis</strong>&nbsp;entstehen durch die Aufspaltung der Bauchaorta in Höhe des 4./5. Lendenwirbels. Sie gabeln sich nach kurzem Verlauf jeweils in die A. iliaca externa und die A. iliaca interna.<div>Die&nbsp;<strong>A. iliaca externa</strong>&nbsp;zieht am medialen Psoasrand nach kaudal in die&nbsp;<strong>Lacuna vasorum</strong>, wo sie in die A. femoralis übergeht. Innerhalb des Beckens gibt sie nur 2 Äste ab:</div><div>A. epigastrica inferior</div><div>A. circumflexa ilium profunda.</div><div>Die&nbsp;<strong>A. iliaca interna</strong>&nbsp;verläuft entlang des Sakroiliakalgelenks in das kleine Becken und gibt dabei zahlreiche Äste ab:</div><div><strong>parietale</strong>&nbsp;Äste: A. iliolumbalis, A. sacralis lateralis, A. glutea superior, A. obturatoria, A. glutea inferior</div><div><strong>viszerale</strong>&nbsp;Äste: A. umbilicalis, A. uterina, A. pudenda interna, A. vesicalis inferior, A. rectalis media.</div><div><div><br></div></div><div><img src=""ana_012600_steckbrief_1349468305012.png""><br></div>",,,,,,"Atlas Plate 382","<div>Arteria glutea superior</div>","<div>Arteria obturatoria</div>","<div>Arteria umbilica</div>","<div>Arteria pudenda interna</div>","<div>Arteria glutea inferior</div>","<div>Arteria uterina</div>","<div>Arteria recta inferior</div>","<div>Arteriae vesicales superior</div>","<div>Arteria umbilica (pars occluda)</div>","<div>Arteria iliaca interna</div>","<div>Dexter arteria iliaca communis</div>",,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Pelvic DopeRanatomy::System::Cardiovascular::Vascular::Pelvic DopeRanatomy::System::Reproductive::Female Dufte::Becken_Beckenboden::Becken::Leitungsbahnen"
%8_kdj!*Xh,1349477488368,"Arterien der Hand: Palmare Ansicht","<img src=""MSA-Arteries_of_Hand-Palmar_View64.jpg"">","<b>Klinik:</b><div><b><br></b></div><div><div><b>Allen-Test&nbsp;</b><br>Die&nbsp;Arterien&nbsp;im Bereich des&nbsp;Handgelenks&nbsp;eignen sich besonders gut für eine&nbsp;arterielle Punktion. Um die Blutversorgung der Hand dabei nicht zu gefährden, sollte zuvor unbedingt die&nbsp;<b>Durchlässigkeit der&nbsp;Anastomosen</b>&nbsp;geprüft werden. Dies geschieht bspw. über den sog.&nbsp;<b>Allen-Test</b>: Zunächst werden die&nbsp;A. radialis&nbsp;und&nbsp;A. ulnaris&nbsp;abgedrückt und die Hand durch wiederholten Faustschluss „leer gepumpt“ bis sie sich weiß färbt. Dann wird eines der beiden Gefäße losgelassen und die Durchblutung der Hand anhand ihrer Färbung beurteilt. Färbt sich die gesamte Hand zügig rosig, ist der&nbsp;Allen-Test&nbsp;unauffällig und die&nbsp;Anastomosen&nbsp;sind intakt. Bleibt sie zumindest teilweise blass, ist der&nbsp;Allen-Test&nbsp;pathologisch; auf eine Punktion sollte verzichtet werden.</div><div><img src=""big_536cfed8c3f46.jpg""><br></div><div><br></div><div><b>Leitungsanästhesie nach Oberst</b><br>Bei kleineren operativen Eingriffen am Finger kann eine&nbsp;lokale Anästhesie&nbsp;des entsprechenden Fingers ausreichend sein. Hierfür eignet sich bspw. die sog.&nbsp;Leitungsanästhesie nach Oberst: Der Finger wird distal des&nbsp;Fingergrundgelenks&nbsp;punktiert, die Kanüle nach&nbsp;palmar&nbsp;vorgeschoben. Durch die Injektion eines&nbsp;Lokalanästhetikums&nbsp;wie&nbsp;Lidocain&nbsp;ins dortige Gewebe werden sowohl die dorsalen als auch die&nbsp;palmaren&nbsp;Nerven blockiert und der gesamte Finger betäubt. Da die Muskeln, die den Finger bewegen, proximal der Einstichstelle sitzen, kann der Finger weiterhin bewegt werden. Das Verfahren kann auch bei Eingriffen an den&nbsp;Zehen&nbsp;angewendet werden.</div></div>","<b>Kommentar:</b><br><div><div>Die A. ulnaris endet im&nbsp;<b>Arcus palmaris superficialis</b>.</div></div><div><div>Der&nbsp;<b>Arcus palmaris superficialis</b>&nbsp;dient im Wesentlichen der Versorgung der&nbsp;<b>Finger</b>&nbsp;. Nachdem eine&nbsp;<b>Arteria digitalis palmaris propria</b>&nbsp;zur Ulnarseite von Handkante und Kleinfinger abgezweigt ist, gibt der oberflächliche Hohlhandbogen (meist) drei&nbsp;<b>Arteriae digitales palmares communes</b>&nbsp;ab. Diese verzweigen sich in Höhe der Grundgelenke in zwei&nbsp;<b>Arteriae digitales palmares propriae</b>&nbsp;für die einander zugekehrten Seiten des 5. bis 2. Fingers. Die palmaren Fingerarterien versorgen den größten Teil der&nbsp;Finger&nbsp;inklusive dem gesamten Endglied.<br></div><div><br></div><div><div>Die A. radialis endet im</div><div><b>Arcus palmaris profundus</b>&nbsp;(<b>tiefer Hohlhandbogen</b>), der mit dem Ramus profundus der A. ulnaris auf den Basen der Metakarpalia mit der A. ulnaris anastomosiert&nbsp;<br><br><img src=""ana_001900_a_radialis.png""><br><u>A. radialis und A. ulnaris</u><div>A. radialis und A. ulnaris anastomosieren über Arcus palmaris superficialis, Arcus palmaris profundus, Rr. perforantes, Rete carpale dorsale und Rete carpale palmare.</div>(aus Schünke, Schulte, Schumacher, Prometheus, Allgemeine Anatomie und Bewegungssystem, Thieme, 2014; Grafiker: Karl Wesker)<br></div></div></div>",,,,,,"Atlas Plate 454","<div>Arteria radialis</div>","<div>Ramus palmaris superficialis der Arteria radialis</div>","<div>Arteriae et nervi digitales palmares</div>","<div>Arteriae et nervi digitales palmares communes</div>","<div><div>Arcus palmaris superficialis</div></div>","<div>A. und N. ulnaris, R. profundus</div>","<div>Arteria et nervus ulnaris</div>",,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Cardiovascular::Vascular::Upper_Limb::Hand/Wrist/Forearm Dufte::Obere_Extremitäten::Unterarm_Hand::Leitungsbahnen"
"#mgF|_s,^a",1349477488369,"Arterien des Dickdarms","<img src=""MSA-Arteries_of_Large_Intestine15.jpg"">","<b>Clinical:</b> Anastomatic channels exist between the branches of the superior and inferior mesenteric arteries. If the blood flow from one bowel region is compromised, collateral flow from anastomatic branches usually can assist in supplying blood to the compromised region. <br>","<b>Comment:</b>  The superior mesenteric artery supplies blood to the adult gastrointestinal tract derivatives of the embryonic midgut.  These include arteries to a portion of the pancreas, the distal duodenum, all of the small intestine, the appendix, the ascending colon, and most of the transverse colon.  <br><br>The inferior mesenteric artery supplies the embryonic hindgut derivatives: the distal transverse colon, descending and sigmoid colon, and superior portion of the rectum.<br>",,,,,,"Atlas Plate 288","Arteria mesenterica superior","Arteria colica media","Arteriae rectae","Arteria marginalis coli","Arteria colica dextra","Arteria ileocolica","Arteria appendicularis","Arteria rectalis superior","Arteriae sigmoideae","Arteria colica sinistra","Arteria mesenterica inferior","Arteriae jejunales und ileales",,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Abdomen::GI DopeRanatomy::System::Cardiovascular::Vascular::Abdomen DopeRanatomy::System::Gastrointestinal::Large_Intestine Dufte::Abdomen::Leitungsbahnen"
